vendor_id,vendor_name,vendor_aliases,vendor_type,vendor_tags,target_segment_fit,industry_strengths,visibility_level,website_url,evidence_url,supporting_evidence_urls,evidence_date,as_of_date,confidence,vendor_score,notes
V001,i人事,利唐i人事,software,core_hr|payroll|wfm|ats|recruiting|analytics|ai,smb|mid_market|enterprise_group,consumer_retail|advanced_manufacturing|logistics_mobility,high,https://sc.pingcode.com/86l8n,https://worktile.com/kb/p/3960241,https://worktile.com/kb/p/3961244,2026-03-02,2026-04-18,M,69,"Worktile describes private deployment, AI, and retail/manufacturing/logistics fit."
V002,北森,Beisen,software,core_hr|payroll|wfm|ats|recruiting|analytics,mid_market|enterprise_group,advanced_manufacturing|consumer_retail|logistics_mobility|finance,high,https://sc.pingcode.com/06wpc,https://worktile.com/kb/p/3960588,https://www.sohu.com/a/997571260_120517583,2026-03-05,2026-04-18,M,74,"Worktile highlights integrated HCM, WFM, payroll, and retail/manufacturing deployments."
V003,盖雅工场,GaiaWorks,software,wfm|analytics|implementation,mid_market|enterprise_group,advanced_manufacturing|consumer_retail|logistics_mobility,high,https://www.gaiacloud.com/,https://worktile.com/kb/p/3960588,https://worktile.com/kb/p/3960241,2026-03-05,2026-04-18,M,64,"Worktile positions GaiaWorks as WFM specialist for manufacturing, retail, and logistics."
V004,金蝶 s-HR,Kingdee s-HR,software,core_hr|payroll|analytics|integration,mid_market|enterprise_group,advanced_manufacturing|finance|energy_chemicals,high,https://www.kingdee.com/,https://worktile.com/kb/p/3960241,https://worktile.com/kb/p/3960588,2026-03-02,2026-04-18,M,69,Worktile emphasizes group-scale HR plus ERP/finance integration.
V005,用友大易,大易|Yonyou Dayee,software,ats|recruiting|analytics|integration,mid_market|enterprise_group,internet_software|advanced_manufacturing|consumer_retail,high,https://www.dayee.com/,https://worktile.com/kb/p/3960241,https://worktile.com/kb/p/3961244,2026-03-02,2026-04-18,M,69,Worktile describes Dayee as ATS/recruiting workflow platform for high-volume hiring.
V006,红海云,RedSea,software,core_hr|payroll|wfm|analytics|integration,mid_market|enterprise_group,advanced_manufacturing|consumer_retail|finance,medium,https://www.redsea.cn/,https://worktile.com/kb/p/3960241,https://worktile.com/kb/p/3960588,2026-03-02,2026-04-18,M,70,Worktile highlights configurable enterprise HR platform with complex payroll/attendance support.
V007,BambooHR,,software,core_hr|ats|recruiting|benefits,smb|mid_market,internet_software|consumer_retail,medium,https://www.bamboohr.com/,https://worktile.com/kb/p/3961244,,2026-03-11,2026-04-18,M,65,Worktile presents BambooHR as international HRIS for SMB/mid-market lifecycle management.
V008,UKG,Ultimate Kronos Group,software,core_hr|payroll|wfm|global_payroll|analytics,mid_market|enterprise_group,logistics_mobility|consumer_retail|advanced_manufacturing,high,https://www.ukg.com/,https://worktile.com/kb/p/3960241,https://worktile.com/kb/p/3960588,2026-03-02,2026-04-18,M,79,Worktile highlights global payroll/compliance plus frontline workforce management strengths.
V009,喔趣科技,WorkTrans,software,wfm|analytics|other,smb|mid_market,consumer_retail|logistics_mobility,medium,https://www.woqu365.com/,https://worktile.com/kb/p/3960241,https://worktile.com/kb/p/3960588,2026-03-02,2026-04-18,M,55,Worktile positions Woqutech around mobile scheduling and flexible frontline labor.
V010,宏景软件,Hongjing,software,core_hr|payroll|analytics|implementation,mid_market|enterprise_group,finance|healthcare|other,medium,https://www.hjsoft.com.cn/,https://worktile.com/kb/p/3960241,https://worktile.com/kb/p/3961244,2026-03-02,2026-04-18,M,65,Worktile highlights compliance-heavy deployments for public-sector-like and regulated organizations.
