match_id,opportunity_id,company_id,company_name,vendor_id,vendor_name,match_type,delivery_feasibility,match_score,match_status,term_status,rationale,next_action
M001,O001,C001,阿里巴巴,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"阿里巴巴 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M002,O001,C001,阿里巴巴,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"阿里巴巴 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M003,O001,C001,阿里巴巴,V002,北森,adjacent,medium,67,pending,needs_confirmation,"阿里巴巴 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M004,O002,C003,美团,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"美团 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M005,O002,C003,美团,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"美团 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M006,O002,C003,美团,V002,北森,adjacent,medium,67,pending,needs_confirmation,"美团 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M007,O003,C004,上海钢联,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"上海钢联 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M008,O003,C004,上海钢联,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"上海钢联 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M009,O003,C004,上海钢联,V002,北森,adjacent,medium,67,pending,needs_confirmation,"上海钢联 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M010,O004,C005,拼多多,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"拼多多 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M011,O004,C005,拼多多,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"拼多多 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M012,O004,C005,拼多多,V002,北森,adjacent,medium,67,pending,needs_confirmation,"拼多多 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
